name,collection,material,x,y,z,a_mm,b_mm,length_mm,source,basis
GF North wall | bottom plate,02 Ground floor walls,MGP10 pine,6.8098,7.835,0.0175,90.0,35.0,769.6,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | bottom plate.001,02 Ground floor walls,MGP10 pine,17.4798,7.835,0.0175,90.0,35.0,18930.4,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | top plate lower,02 Ground floor walls,MGP10 pine,16.685,7.835,2.6725,90.0,45.0,20520.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | top plate upper,02 Ground floor walls,MGP10 pine,16.685,7.835,2.7175,90.0,45.0,20520.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry king stud,02 Ground floor walls,MGP10 pine,7.1246,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry king stud.001,02 Ground floor walls,MGP10 pine,8.0846,7.835,1.3425,45.0,90.0,2615.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry jack stud,02 Ground floor walls,MGP10 pine,7.1696,7.835,1.1875,45.0,90.0,2305.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry jack stud.001,02 Ground floor walls,MGP10 pine,8.0396,7.835,1.1875,45.0,90.0,2305.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry LVL lintel,02 Ground floor walls,LVL beams,7.6046,7.835,2.4,90.0,120.0,920.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry head cripple,02 Ground floor walls,MGP10 pine,7.325,7.835,2.555,35.0,90.0,190.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
GF North wall | D02 laundry head cripple.001,02 Ground floor walls,MGP10 pine,7.775,7.835,2.555,35.0,90.0,190.0,Architectural 07/08/11; Structural S12/S13,Plan-traced position; scheduled/typical section
